Id;FirmenNr;HaeuserNr;ETRS_UTM33N_X;ETRS_UTM33N_Y;Firma;Vorlage;FlurstuecksNr;BrandkatasterNr;Hausname;HausNr;Strasse;Strassenteil;Stadtteil;Gewerbename;Gewerbetyp;STR_NAME_2018;HNR_2018;PLZ_2018;FLURSTUECKSNR_2018;SBZ_NR_2018;SBZ_NAME_2018;OT_NR_2018;OT_NAME_2018;
1761;1405;933;317504.354;5690046.999;Max Burger;Burger, Max;1165v;484N;;21;Turnerstraße;;Alt-Leipzig;Lithographische Anstalt;Graphische Anstalt;--;0;04103;1170/26;0;Mitte;2;Zentrum-Südost;
1762;1407;934;314838.768199999;5688735.01139999;Buschmann & Fließbach;Buschmann & Fließbach, Inh.: Albin Buschmann u. Georg Fließbach;75o;68F;;12;Oeserstraße;;Schleußig;Lithographisches Atelier;Graphische Anstalt;Oeserstraße;32;04229;75o;5;Südwest;50;Schleußig;
1763;1409;935;320383.0822;5690137.5456;Curt Dietrich;Dietrich, Curt;153d;1N;;8;Spichernstraße;;Anger-Crottendorf;Lithographische Anstalt;Graphische Anstalt;Stegerwaldstraße;14;04318;153d;2;Ost;22;Anger-Crottendorf;
1764;1413;938;316866.284;5689281.324;Richard Frenzel;Frenzel, Richard;2524g;8O;;12/14;Körnerstraße;;Alt-Leipzig;Pantogr. Anstalt;Graphische Anstalt;Körnerstraße;12/14;04107;2524g;4;Süd;40;Südvorstadt;
1765;1415;939;317809.023;5690304.836;Carl Garte;Carl Garte;1365/1363/1364/1362;658/656/657/655;;35/37/39;Seeburgstraße;;Alt-Leipzig;Graph. Kunstanstalt;Graphische Anstalt;Seeburgstraße;0;04103;4714;0;Mitte;2;Zentrum-Südost;
1766;1418;940;318434.075;5690672.74;Göhlitz, Edmund;Edmund Göhlitz;1535;836;;8;Antonstraße;;Alt-Leipzig;Lithographische Anstalt;Graphische Anstalt;--;0;04103;4491;0;Mitte;2;Zentrum-Südost;
1767;1420;942;314838.6774;5688716.11199999;Graphische Kunstanstalt Gebrüder Arnold;Graphische Kunstanstalt Gebrüder Arnold, Inh. Emil u. Karl Arnold;193;27;;7b;Oeserstraße;;Schleußig;Lithographische Anstalt;Graphische Anstalt;Oeserstraße;17;04229;193;5;Südwest;50;Schleußig;
1768;1423;943;317286.151;5689712.268999999;Hermann Haack;Haack, Hermann, Inh.: Arthur Haack;946a;221B;;22;Hohe Straße;;Alt-Leipzig;Lithographische Anstalt und Steindruckerei;Graphische Anstalt;Hohe Straße;0;04107;4551;0;Mitte;3;Zentrum-Süd;
1769;1423;943;317286.151;5689712.268999999;Hermann Haack;Haack, Hermann, Inh.: Arthur Haack;946a;221B;;22;Hohe Straße;;Alt-Leipzig;Steindruckerei u. Lithogr. Anstalt;Druckereien;Hohe Straße;0;04107;4551;0;Mitte;3;Zentrum-Süd;
1770;1424;944;318527.36;5691332.573;Ernst Haase;Haase, Ernst;609;115;;11;Kohlgartenstraße;1 - 71 und 16 - 58;Reudnitz;Lithographische Anstalt;Graphische Anstalt;Kohlgartenstraße;0;04315;608/6;2;Ost;20;Neustadt-Neuschönefeld;
1771;1425;945;315985.7115;5693600.87209999;Heß & Seyfert;Heß & Seyfert, Inh: Josef Heß u. Carl Seyfert;277o;364;;10;Luisenstraße;;Gohlis;Lithographische Anstalt;Graphische Anstalt;Mottelerstraße;14;04155;277v;9;Nord;90;Gohlis-Süd;
1772;1425;945;315985.7115;5693600.87209999;Heß & Seyfert;Heß & Seyfert, Inh: Josef Heß u. Carl Seyfert;277o;364;;10;Luisenstraße;;Gohlis;Luxuspapierfabrik;Papierhandlung/Papierherstellung;Mottelerstraße;14;04155;277v;9;Nord;90;Gohlis-Süd;
1773;1425;945;315985.7115;5693600.87209999;Heß & Seyfert;Heß & Seyfert, Inh: Josef Heß u. Carl Seyfert;277o;364;;10;Luisenstraße;;Gohlis;Steindruckerei;Druckereien;Mottelerstraße;14;04155;277v;9;Nord;90;Gohlis-Süd;
1774;1183;946;319449.553199999;5690742.3342;Apffelstaedt & Co.;Apffelstaedt & Co.Inh.: Oswald Brohm u. Lina Badstube;5b;10F1;;10;Wurzner Straße;2a - 18;Anger-Crottendorf;Gravier-Anstalt;Zuliefer- und Hilfsgewerbe;Wurzner Straße;10;04315;5b;2;Ost;22;Anger-Crottendorf;
1775;1426;946;319449.553199999;5690742.3342;Emil Hesse;Hesse, Emil;5b;10F1;;10;Wurzner Straße;2a - 18;Anger-Crottendorf;Lithographische Anstalt;Graphische Anstalt;Wurzner Straße;10;04315;5b;2;Ost;22;Anger-Crottendorf;
1776;1428;948;317379.7663;5690882.7979;Hilbig, Robert;Hilbig, Robert, Privatlithograph;155;171;;2;Nikolaistraße;;Alt-Leipzig;Lithographische Anstalt;Graphische Anstalt;Nikolaistraße;2;04109;155;0;Mitte;0;Zentrum;
1777;1430;949;319457.221;5690807.147999999;Max Jahr;Jahr, Max;68a;35;;15b;Wurzner Straße;15a - 17;Volkmarsdorf;Lithographische Anstalt;Graphische Anstalt;Wurzner Straße;15b;04315;68/3;2;Ost;20;Neustadt-Neuschönefeld;
1778;1431;950;317860.4456;5689799.9272;H. F. Jütte;H. F. Jütte, Inh.: Heinr. sen., Heinr. jun. u. Rich. Jütte;1135;404;;15;Carolinenstraße;;Alt-Leipzig;Graphische Kunstanstalt;Graphische Anstalt;Paul-List-Straße;25;04103;1135;0;Mitte;2;Zentrum-Südost;
1779;1432;951;317333.142;5689637.776000001;Robert Kathmann & Co.;Robert Kathmann & Co.Inh.: Erich Bleyl;1066;208;;25/27/29;Elisenstraße;1 - 119 u. 2 - 118;Alt-Leipzig;Lithographische Anstalt;Graphische Anstalt;Bernhard-Göring-Straße;25/27;04107;1066;0;Mitte;3;Zentrum-Süd;
