Id;FirmenNr;HaeuserNr;ETRS_UTM33N_X;ETRS_UTM33N_Y;Firma;Vorlage;FlurstuecksNr;BrandkatasterNr;Hausname;HausNr;Strasse;Strassenteil;Stadtteil;Gewerbename;Gewerbetyp;STR_NAME_2018;HNR_2018;PLZ_2018;FLURSTUECKSNR_2018;SBZ_NR_2018;SBZ_NAME_2018;OT_NR_2018;OT_NAME_2018;Unnamed: 23
315;298;188.0;318727.593799999;5690571.53739999;F. Stoll jr.;F. Stoll jr., Herausgabe d. Illustrierten Zeitung für Blechindustrie, Inh.: Ww. Helene Wilhelmy u. Eugen Strobel;735;297F;;6;Frommannstraße;;Reudnitz;Buchdruckerei;Druckerei und Buchhandel;Frommannstraße;6;4317.0;735;3.0;Südost;30.0;Reudnitz-Thonberg;
316;41;189.0;318936.38800000004;5690552.385;Carl Schremmel;Carl Schremmel;266;463;;13/15;Frommannstraße;;Reudnitz;Buchbinderei;Buchbinderhandwerk;Frommannstraße;13/15;4317.0;1134/2;3.0;Südost;30.0;Reudnitz-Thonberg;
317;307;190.0;316365.075899999;5691272.3659;Rudolf Schick & Co.;Rudolf Schick & Co.;3224;1415B;;2;Funkenburgstraße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Funkenburgstraße;2;4105.0;3224;0.0;Mitte;5.0;Zentrum-Nordwest;
318;308;191.0;316307.7816;5691404.6764;Helios-Verlag Franz A. Wolfson;Helios-Verlag Franz A. Wolfson;2089g;1416G;;9;Funkenburgstraße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Funkenburgstraße;9;4105.0;2089g;0.0;Mitte;5.0;Zentrum-Nordwest;
319;1114;192.0;318647.086799999;5690877.18359999;A. Franke;Franke, A.;118;69;;10;Gabelsbergerstraße;;Reudnitz;Buchbinderei;Buchbinderhandwerk;Gabelsbergerstraße;10;4317.0;118;2.0;Ost;20.0;Neustadt-Neuschönefeld;
320;1295;192.0;318647.086799999;5690877.18359999;Hermann Kirstein & Co.;Kirstein & Co., Hermann;118;69;;10;Gabelsbergerstraße;;Reudnitz;Photomechanische Anstalt, Lithogr.;Graphische Anstalt;Gabelsbergerstraße;10;4317.0;118;2.0;Ost;20.0;Neustadt-Neuschönefeld;
321;1295;192.0;318647.086799999;5690877.18359999;Hermann Kirstein & Co.;Kirstein & Co., Hermann;118;69;;10;Gabelsbergerstraße;;Reudnitz;Klischees;Zuliefer- und Hilfsgewerbe;Gabelsbergerstraße;10;4317.0;118;2.0;Ost;20.0;Neustadt-Neuschönefeld;
322;1295;192.0;318647.086799999;5690877.18359999;Hermann Kirstein & Co.;Kirstein & Co., Hermann;118;69;;10;Gabelsbergerstraße;;Reudnitz;Steindruckerei;Druckerei und Buchhandel;Gabelsbergerstraße;10;4317.0;118;2.0;Ost;20.0;Neustadt-Neuschönefeld;
323;309;193.0;318645.19749999896;5690827.8999;Eduard Liesegang's Verlag (M. Eger);Eduard Liesegang's Verlag Leipzig (M. Eger), Inh.: Moritz Eger;122a;66;;4;Gabelsbergerstraße;;Reudnitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Gabelsbergerstraße;4;4317.0;122a;2.0;Ost;20.0;Neustadt-Neuschönefeld;
324;965;194.0;318645.61;5690843.925;Oswald Schmidt;Oswald Schmidt, Inh.: Emil Schlieder u. Otto Ackermann;121;67;;6;Gabelsbergerstraße;;Reudnitz;Buchdruckerei;Druckerei und Buchhandel;Gabelsbergerstraße;0;4317.0;121;2.0;Ost;20.0;Neustadt-Neuschönefeld;
325;966;195.0;318658.12889999896;5691043.01779999;Otto Wendt;Otto Wendt;99;76;;22;Gabelsbergerstraße;;Reudnitz;Buchdruckerei;Druckerei und Buchhandel;Gabelsbergerstraße;22;4317.0;1040;2.0;Ost;20.0;Neustadt-Neuschönefeld;
326;1720;195.0;318658.12889999896;5691043.01779999;Scherz & Herrmann;Scherz & Herrmann, Inh. Hilmar Herrmann;99;76;;22;Gabelsbergerstraße;;Reudnitz;Gummiertes Papier;Papierhandlung/Papierherstellung;Gabelsbergerstraße;22;4317.0;1040;2.0;Ost;20.0;Neustadt-Neuschönefeld;
327;1720;195.0;318658.12889999896;5691043.01779999;Scherz & Herrmann;Scherz & Herrmann, Inh. Hilmar Herrmann;99;76;;22;Gabelsbergerstraße;;Reudnitz;Präge-Anstalt;Graphische Anstalt;Gabelsbergerstraße;22;4317.0;1040;2.0;Ost;20.0;Neustadt-Neuschönefeld;
328;310;196.0;316422.6725;5694245.0449;Th. Lappert;Lappert, Th.;338h;21;;11;Garnisonstraße;;Gohlis;Reisebuchhandlung;Buchhandel und Verlagswesen;Stauffenbergstraße;11;4157.0;338/1;9.0;Nord;91.0;Gohlis-Mitte;
329;311;197.0;317512.164099999;5693345.3353;Loew & Weimann;Loew & Weimann, Inh.: Julius Loew u. Felix Taenzer;459;281W;;11;Geibelstraße;;Eutritzsch;Verlagsbuchhandlung, Fachzeitschr. Verl.,;Buchhandel und Verlagswesen;Geibelstraße;11;4129.0;459;9.0;Nord;91.0;Gohlis-Mitte;
